author,rating,text,date,sentiment,source,company_id,company_name
Estelle,5.0,"Monsieur M a surpassé toutes nos attentes lors de notre mariage. Chaque plat était très copieux et excellent. Le cocktail a également ravis de nombreux invités qui nous ont fait de très bon retours. Leur professionnalisme et leur attention aux détails ont contribué à faire de notre journée un véritable festin mémorable. 
Merci à Camille, Thomas et leur équipe pour leur excellent service et leur contribution à rendre notre mariage inoubliable.",2024-04-11,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Patricia,5.0,"Nous recommandons vivement les services de Monsieur M, qui nous as accompagnées du cocktail au brunch du lendemain. Dès le repas d’essai nous avons été conquises, et Monsieur M s’est imposé pour nous comme le meilleur choix, tant du point de vue du rapport qualité-prix, que pour la confiance que le service nous a inspiré.  Merci à Camille et Raphaële, nos interlocutrices tout au long de la préparation de notre mariage, qui ont répondu à toutes nos questions et nous ont aidé à prévoir le menu parfait pour notre évènement. Merci à Maxime et Jonathan, ainsi qu’à toute l’équipe présente sur l’évènement. En plus d’un service impeccable, ils se sont adaptés à tout ce que nous avions prévu,... En savoir plus",2025-05-25,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Julie,4.8,"Un grand merci à Camille et à toute l’équipe de Monsieur M.
L’équipe est disponible, à l’écoute et d’un grand professionnalisme. Le repas a eu un franc succès.
Nous ne pouvons que les recommander.

J & A.",2024-12-10,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Amandine,5.0,"L’équipe était très professionnel, souriante et réactive ! Le repas à fait l’unanimité que ce soit en goût ou en présentation. Le repas végétarien a aussi été très apprécié. 
Le maître d’hôtel et son équipe était au top et tout à été très bien gérer. 
Je recommande ! Encore merci",2024-11-09,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Mathilde,5.0,"Accompagnement en amont, prestation le jour J, les équipes de Monsieur M ont été au top niveau et tous nos invités nous ont fait des compliments sur la qualité du traiteur. 
Les équipes ont su s’adapter au rythme de la journée, ont été flexibles et compréhensives, très discrètes toute la soirée. Bravo et merci encore !",2025-02-02,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Marie,5.0,"Un vin d’honneur, repas et retour excellents 👍🏼
Nous n’avons eu que des retours positifs de tous nos invités. Un grand merci à vous 🙏",2024-10-09,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Anja,5.0,"Tous nos invités ont adoré le cocktail et le dîner ! Le „meilleur dîner de mariage jusqu’à présent“ selon certain 😊
Je recommande vivement Monsieur M, ils sont fiables, discrets et efficaces. 
Une mention particulière à Théo qui a été notre majordome durant la soirée et qui nous a permis de profiter de nos invités et de notre cocktail sans concession !",2024-09-16,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Pierre,5.0,"Nous avons fait appel aux équipes de Monsieur M pour notre mariage et avons été ravi de la prestation ! Nous avons eu beaucoup de compliments sur la qualité des pièces cocktails et la finesse du diner, le tout avec des éléments souvent très précis (cuisson du poisson notamment !) ce qui rassure sur le caractère authentique du compliment :)
Le service a été impeccable et le timing (chose très importante pour un mariage) parfaitement tenu !
Merci aux équipes pour leur accompagnement et plus particulièrement à Camille qui nous a guidé avec gentillesse et professionnalisme dans les différentes étapes de notre projet !",2024-10-04,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Terek,5.0,"Prestation de qualité, les équipes ont su faire preuve de professionnisme, d'adaptation et de discrétion. Les repas étaient de qualité et nous avons eu de très bons retours de nos invités. 
Je recommande vivement !",2024-08-02,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Anaïs,5.0,"Mariage au Château de la Rouërie - 20.07.2024
Un immense merci à toute l'équipe de Monsieur M pour la qualité du cocktail et du dîner à notre mariage, nous nous sommes régalés !
Merci infiniment à Camille pour son accompagnement, sa disponibilité et ses bons conseils tout au long des préparatifs et du jour J.
Mention spéciale à Jonathan, notre maître d'hôtel, pour la qualité du service, sa maîtrise, son écoute et sa bienveillance le jour J 🙏🏼
Tout s'est déroulé à merveille ✨
Nous recommandations sans hésitation Monsieur M aux futurs mariés et ne manquerons pas de refaire appel à leurs services pour de futurs événements !",2024-08-04,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Martin,5.0,"L'équipe de monsieur M a été disponible et rassurante tout le long de notre préparation au mariage 
Le jour J ils ont su s'adapter. De plus, nous avons été conquis par leurs mets de grande qualité. Nous avons eu également de très bons retours de nos invités ! 
Nous recommandons les yeux fermés !",2024-07-26,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Julie,5.0,"Monsieur a dépassé toutes nos attentes que ce soit en amont, avec une fluidité d'échange et une disponibilité totale ou pendant le mariage. Les équipes ont su s'adapter à notre lieu, le personnel était d'une gentillesse incroyable !
L'intégralité de nos convives ont été conquis par les plats/ateliers ...proposés. C'était plus qu'un repas mais une expérience incroyable !",2024-06-10,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Emilie,4.6,Très bon traiteur ! Qui a su d'adapter un lieu atypique et s'organiser !   Coctail   hyper bon et repas également ! Nos convives se sont régalés !,2024-06-05,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Ophélie,5.0,"Je recommande vivement Monsieur M ! 
Très professionnel et de bon conseil. Une qualité culinaires variés. Tout nos convies ont adoré.
Des choses qu’on ne voit pas partout.
Camille est très réactive et accueillante. 
On peut y allez les yeux fermé !",2024-05-22,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Boillet,5.0,"Excellent traiteur, un service au top avec une équipe géniale, mention spéciale pour Jonathan qui a assuré ! Nos invités étaient ravis 🤩 Vous pouvez leur faire confiance, les yeux fermés ! MERCI !!!",2024-05-21,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Mathilde,5.0,"De l’accompagnement pour la préparation du mariage à la prestation le jour J, nous en pouvons que recommander Mr. M … avec une mention spéciale pour l’équipe présente sur place! Petit plus : nous recommandons les galettes du retour de noces qui a séduit… et remis nos invités sur pieds après la soirée!",2024-05-20,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Benoit,5.0,"Professionnalisme, qualité du cocktail et du dîner au top et également le service géré d’une main de maître par notre maître d’hôtel Jonathan hyper disponible et très pro.
Nous les recommandons pour un événement réussi.
Au plaisir de vous revoir.
Patricia & Benoit",2024-05-10,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Audrey,5.0,"Un grand merci à notre traiteur pour la qualité du repas, la qualité du service, leur patience et leur professionnalisme. Tout était parfait, du vin d'honneur jusqu'au dressage du buffet du brunch ! 
Le repas était délicieux et copieux, nous recommandons à 100%",2024-05-08,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Laurine,5.0,"Nous avons fait appel à Monsieur M comme traiteur pour notre mariage. Toute l'équipe a été parfaite de l'installation au jour J. ( Bar à rafraîchissement - cocktail et Dîner). Lors du cocktail nous avions choisi un atelier Bruschetta - nos convives ont adoré. Maxime et son équipe ont été parfaits avec un service chaleureux et discret. 
Le dîner était délicieux, copieux et raffiné.
Nous recommandons vivement.
Encore merci pour votre accompagnement.",2024-05-06,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Julien,5.0,"Les équipes de Monsieur M Traiteur ont été aux petits soins pour rendre notre mariage mémorable.
Ils sont très professionnels, disponibles et d'une grande gentillesse.
Nous nous sommes régalés.",2024-04-24,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Lisa,5.0,"Tout était parfait et fluide, tant sur l’accompagnement en amont du mariage (avec Camille), que sur les prestations le jour J. Nos invités ont souligné la grande qualité du cocktail et du repas, tout était délicieux. 
Un grand merci à notre maître d’hôtel Jonathan et ses équipes qui ont réalisé un service extrêmement professionnel et attentif. Nous recommandons à 100%",2024-04-23,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Maud,4.8,Nous sommes plus qu’heureux d’avoir travaillé avec Monsieur M. le responsable de salle Marc était d’une gentillesse ! Ainsi que les serveurs et cuisiniers ! Nous recommandons vivement,2024-04-02,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Julian,4.8,"Maîtres d'hôtel géniaux, au petits soins pendant toute la soirée. Tout était bon, nous avons eu plein de compliments sur la qualité du repas, et la formule tout inclus est vraiment une bonne option. Pour l'anecdote, c'est le premier traiteur que nous avons goûté, nous n'avons pas eu besoin de poursuivre nos recherches.",2024-01-21,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Ludovic,5.0,"Mr. M était notre traiteur pour notre mariage du 30 septembre dernier.
Au delà d'une préparation remarquable, avec l'appui de Camille qui a su être disponible à tout moment (même sur les derniers jours), la prestation et le service ont été à la hauteur de l'excellence présentée par la Société.
Les plats furent tous appréciés par les convives, et le maître d'hôtel Jonathan parfait dans son rôle. Merci encore à toute l'équipe.
Nous recommandons grandement ce traiteur pour tout futur mariage.",2023-10-04,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Pierre,5.0,"Merci à Monsieur M pour leur prestation de très haute qualité. 
Service parfait du début à la fin, le repas était délicieux. Le personnel est très professionnel. 
Nous avions choisi d'offrir à l'arrivée de nos invités un bar à rafraîchissement, l'atelier de Bruschetta à régalé tous nos convives pendant le cocktail. Et malgré le contexte compliqué concernant les approvisionnements de foie gras, nous avons eu la chance de dégusté un foie gras incroyable en entrée. Repas 5*",2023-09-27,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Constance,5.0,"N’étant pas de la région nous avons choisis Monsieur M sans connaître sa réputation, tout était parfait et excellent. Nos invités ont tous été impressionnés par la qualité des mets servis et la beauté du cocktail (nous les mariés en avons loupé une bonne partie haha) 
Mention spéciale pour Jonathan le maître d’hôtel qui a été un amour et m’a aidé à destresser pendant le cocktail !",2023-08-14,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Astrid,5.0,Professionnalisme et service de qualité sont au rendez-vous ! Les plats étaient délicieux !,2023-08-08,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Lebelle,5.0,"Pour notre mariage avec le vin d’honneur, plat fromage dessert, ce fut parfait ! 

Nous avons mangé de bons produits frais et locaux. 
Un vrai régal nos invités et nous on a été conquis.",2023-08-07,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Camille,5.0,"Nous sommes très heureux d’avoir fait appel à Monsieur M. Tout était parfait et si bon, nous n’avons eu que des compliments de nos invités pour tout le mariage (cocktail, dîner et brunch le lendemain). 
Nous recommandons sans hésitation !",2023-08-05,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Quentin,5.0,"Nous avons choisi Monsieur M après les avoir déjà vus dans un précédent mariage. La prestation globale, de l'élaboration du devis au jour J, en passant par le repas test, s'est passée d'une manière très professionnelle. John, notre Maître d'hôtel pour la journée a été très attentifs à nos souhaits, a su être réactifs face à quelques imprévus, le tout avec une bonne humeur et un grand sourire à chaque échange.
La qualité des repas est digne d'une grande cuisine. 
Nous ne pouvons que recommander Monsieur M !
Quentin et Lisa",2023-08-01,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Kilian,4.8,"Monsieur M est un traiteur de qualité, à  l'écoute et très  professionnel vis à  vis des clients.
Ils ont toujours su s'adapter à  nos demandes et nous accompagner pour que notre jour se passe le mieux possible. 
Le repas était  d'une  très  grande qualité.  Le service  était  bien réalisé. 
Tout était  parfait si ce n'est  le retour (galette party ) où  nous avons trouvé que nos invités  faisaient la queue pendant trop longtemps.  Peut être  qu'un cuisinier de plus pour 80 personnes ne serait pas superflux.
Hormis  cela nous recommandons à  100 % Monsieur M pour les mariages.",2023-07-31,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Benjamin,4.4,"Prestation du jour J parfaite. Jonathan notre maître d'hôtel à été très à l'écoute des mariés et pleins d'attentions, ainsi que l'ensemble de l'équipe de service très professionnelle du début jusqu'à la fin de la prestation. Nos convives ont adoré le repas ! Nous avons rencontré quelques aléas avec le service commercial (délai de réponse dû à une surcharge de travail, devis actualisés non reçu ou reçus mais erronés .... ) mais cela n'entachera pas l'image positive que nous garderons de la prestation de Monsieur M pour notre mariage.

Maëva et Benjamin",2023-07-30,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Noémie,5.0,"En un mot: délicieux ! Du cocktail au dessert tout était divin ! Nos invités et nous mêmes, nous nous sommes régalés! Les serveurs, ceux qui installent et Vicky sont très professionnels, disponibles et arrangeants ! On recommande ++ !",2023-07-01,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Steffie,5.0,"Conquis dès la dégustation, nous étions sûrs de ne pas nous tromper pour régaler nos invités lors de notre mariage en mai 2023. Nous avons décidé de faire appel à Monsieur M pour le vin d'honneur (213 personnes), le dîner (168 convives) et le retour (150 repas) avec la formule galettes et crêpes. Nos convives ont été conquis par les plats de monsieur M. Ils ont su nous guider tout au long des préparatifs. Vicky et Anaïs ont toujours su répondre à nos interrogations rapidement et efficacement. Quant à Maxime, notre maître d'hôtel, il a été exceptionnel tout au long du jour J, du cocktail au dîner. A l'écoute, bienveillant et très professionnel ! A chaque discussion du mariage,... En savoir plus",2023-06-28,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Julie,5.0,"Merci infiniment Monsieur M pour votre professionnalisme ! Nous avons eu que des retours positifs tant sur le repas que sur le service. Merci à Maxime pour sa patience lorsque les mariés ont légèrement dépassé l'horaire (!). 
Tout a été parfait depuis la signature du contrat, en passant par la dégustation dans vos locaux, jusqu'au jour-j. 
1000 mercis, cette journée a été incroyablement magique et vous y avez contribué",2023-06-05,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Doriane,5.0,"Un grand merci à monsieur M pour la qualité de ses plats. 
Nos invités se sont régalé du vin d'honneur jusqu'au dessert. Mention spéciale pour les ateliers raclette et wok de la mer qui ont fait leur petit effet auprès de nos invités ainsi que pour le boeuf laqué qui était divin ! Nous avons eu que des compliments de la part de nos invités sur le choix des plats et sur leurs gouts.
Nous recommandons vivement Monsieur M qui est très professionnel tant sur l'organisation en amont que sur les plats eux mêmes. 
Encore merci !
Doriane et Alexis",2023-06-01,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Marie,5.0,"Merci à toute l'équipe Monsieur M de nous avoir régalé à l'occasion de notre mariage !
Une équipe de professionnels qui nous ont accompagnés et fait de ce jour un souvenir inoubliable du vin d'honneur jusqu'au dessert !
Un grand merci à Vicky très réactive et à l'écoute de nos souhaits jusqu'au moindre détail.
Nos invités ont été surpris par la pièce montée au citron",2023-04-18,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
David,2.6,"Un manque d’ingrédient très conséquent ,des salade passées et un gros manque de professionnalisme le jour du mariage …
Déçu de la prestation par rapport soit disant au standing annoncé et cela reste dommage car ce qu’on nous avons mangé étaient délicieux.",2022-11-23,negative,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
Solène,4.4,"Nous nous sommes mariés au château de Bezyl en septembre 2022 et avons fait appel à Monsieur M pour s'occuper de toute la prestation traiteur : cocktail, dîner et soirée. Le travail avant le mariage a demandé beaucoup d'investissement personnel pour suivre de près le dossier avec les équipes Monsieur M. Malgré quelques petits soucis en amont du mariage d'un point de vue organisation, nous recommandons tout de même Monsieur M étant donné que le jour J tout s'est très bien déroulé. Nos convives ont apprécié la qualité du service et des plats servis.",2022-10-22,positive,mariages.net,6852d3d474c91954046c1cdb,Monsieur M
